KEY1,Χρόνος Παράδοσης,Regional Unity,Full Address,,Account : Site : Site PostCode
Κωδ.Πρ.: 101412,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΚΥΘΗΡΙΩΝ-40,,17456
Κωδ.Πρ.: 101485,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΡΗΓΑ ΦΕΡΑΙΟΥ-132,,56625
Κωδ.Πρ.: 101424,24,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΕΛ. ΒΕΝΙΖΕΛΟΥ-52,,15351
Κωδ.Πρ.: 101509,24,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΚΩΝ/ΠΟΛΕΩΣ & ΜΟΝΕΜΒΑΣΙΑΣ-1,,13562
Κωδ.Πρ.: 101508,24,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΧΙΟΥ-62,,15343
Κωδ.Πρ.: 101457,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΒΟΤΣΗ ΝΑΥΑΡΧΟΥ-33,,56431
Κωδ.Πρ.: 101486,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΜΑΚΕΔΟΝΙΚΩΝ ΑΓΩΝΩΝ-3,,57013
Κωδ.Πρ.: 101236,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΒΕΝΙΖΕΛΟΥ 70 & ΓΙΑΝΝΑΚΟΠΟΥΛΟΥ,,56123
Κωδ.Πρ.: 101050,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΕΥΦΡΟΝΙΟΥ 61 & ΔΙΟΧΑΡΟΥΣ 28,,16121
Κωδ.Πρ.: 101403,24,ΠΕΙΡΑΙΩΣ,ΚΑΡΑΟΛΗ & ΔΗΜΗΤΡΙΟΥ-53,,18532
Κωδ.Πρ.: 101503,24,ΠΕΙΡΑΙΩΣ,ΜΑΡΙΑΣ ΧΑΤΖΗΚΥΡΙΑΚΟΥ-104,,18539
Κωδ.Πρ.: 101503,24,ΠΕΙΡΑΙΩΣ,ΜΑΡΙΑΣ ΧΑΤΖΗΚΥΡΙΑΚΟΥ-104,,18539
Κωδ.Πρ.: 101494,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ-92,,17235
Κωδ.Πρ.: 101492,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΛΕΩΦ. ΣΟΦΟΚΛΗ ΒΕΝΙΖΕΛΟΥ-106,,16343
Κωδ.Πρ.: 101495,24,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΠΟΡΤΟ ΡΑΦΤΗ ΘΕΣΗ ΒΟΥΡΛΕΖΑ,,19003
Κωδ.Πρ.: 101493,24,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΕΛΑΙΩΝ 79 & ΓΟΡΓΟΠΟΤΑΜΟΥ 2,,13123
Κωδ.Πρ.: 101411,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΜΗΘΥΜΝΗΣ-39,,11252
Κωδ.Πρ.: 101463,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΠΟΛΥΤΕΧΝΕΙΟΥ-28,,55535
Κωδ.Πρ.: 101480,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΔΕΛΦΩΝ-185,,54655
Κωδ.Πρ.: 101462,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΡΗΓΑ ΦΕΡΑΙΟΥ-177,,56626
Κωδ.Πρ.: 101438,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΑΓ. ΠΑΝΤΕΛΕΗΜΟΝΟΣ-11,,56533
Κωδ.Πρ.: 101409,24,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΑΛΑΙΑΣ ΚΑΒΑΛΑΣ-149,,12136
Κωδ.Πρ.: 101469,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΛΑΤΕΙΑ ΑΝΕΞΑΡΤΗΣΙΑΣ-13,,16344
Κωδ.Πρ.: 101418,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΚΥΠΡΟΥ-111 - 113,,16232
Κωδ.Πρ.: 101470,24,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΙΟΝΙΟΥ ΠΕΛΑΓΟΥΣ-10 - 12,,13341
Κωδ.Πρ.: 101460,24,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΜΩΡΟΓΙΑΝΝΗ-14,,12133
Κωδ.Πρ.: 101399,24,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΠΑΡΝΗΘΟΣ 78 & ΣΠΕΤΣΩΝ 34,,13674
Κωδ.Πρ.: 101464,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,Λ. ΔΗΜΟΚΡΑΤΙΑΣ-50,,57013
Κωδ.Πρ.: 101363,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΑΡΑΜΑΝΛΗ 8 & ΝΕΥΡΟΚΟΠΙΟΥ,,54638
Κωδ.Πρ.: 101435,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΜΑΥΡΟΜΙΧΑΛΗ-58,,56533
Κωδ.Πρ.: 101395,24,ΠΕΙΡΑΙΩΣ,ΛΕΩΦ. ΣΑΛΑΜΙΝΟΣ-159,,18756
Κωδ.Πρ.: 101483,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΕΠΙΔΑΥΡΟΥ-25,,54352
Κωδ.Πρ.: 101427,24,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΚΟΥΝΤΟΥΡΙΩΤΟΥ-20,,14122
Κωδ.Πρ.: 101401,24,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΡΧΑΙΟΥ ΘΕΑΤΡΟΥ-18,,13671
Κωδ.Πρ.: 101478,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΠΑΠΑΝΔΡΕΟΥ ΑΝ.-88,,56334
Κωδ.Πρ.: 101459,24,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΩΓΩΝΑΤΟΥ 4 & ΛΕΟΝΤΙΟΥ,,13121
Κωδ.Πρ.: 101400,24,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,Μ. ΑΛΕΞΑΝΔΡΟΥ-22,,13341
Κωδ.Πρ.: 101426,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΛΙΟΣΙΩΝ-92-94,,10440
Κωδ.Πρ.: 101467,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΥ 103 & ΖΕΡΒΟΥΔΑΚΗ-23,,10445
Κωδ.Πρ.: 101456,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΙΚΤΙΝΟΥ 18 & ΖΕΥΞΙΔΟΣ,,54622
Κωδ.Πρ.: 101379,24,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΚΟΤΥΛΙΟΥ-4,,12135
Κωδ.Πρ.: 101446,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΕΘΝ. ΑΝΤΙΣΤΑΣΕΩΣ-80,,56224
Κωδ.Πρ.: 101398,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΧΡΥΣΟΣΤΟΜΟΥ-39,,56224
Κωδ.Πρ.: 101420,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΑΝΟΡΜΟΥ-19,,11522
Κωδ.Πρ.: 101393,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΤΡΑΛΛΕΩΝ-127,,11146
Κωδ.Πρ.: 101415,24,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ-18,,13123
Κωδ.Πρ.: 101417,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΝΙΚΗΤΑΡΑ & ΘΕΜ. ΣΟΦΟΥΛΗ 61,,14342
Κωδ.Πρ.: 101414,24,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΜΥΤΙΛΗΝΗΣ 2 & ΠΕΝΤΕΛΗΣ,,15126
Κωδ.Πρ.: 101392,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΔΗΜΟΚΡΙΤΟΥ-24,,55134
Κωδ.Πρ.: 101405,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΛΕΩΦ. ΜΕΣΟΓΕΙΩΝ-7,,11526
Κωδ.Πρ.: 101419,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΗΡΑΣ 31 & ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 27,,11147
Κωδ.Πρ.: 101425,24,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΑΝΑΓΗ ΤΣΑΛΔΑΡΗ-65-67,,12134
Κωδ.Πρ.: 101389,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΣΚΡΑ-73,,17673
Κωδ.Πρ.: 101289,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΕΜΠΟΡΙΚΟ ΚΕΝΤΡΟ ΜΑΚΕΔΟΝΙΑ,,55535
Κωδ.Πρ.: 101388,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΓ. ΠΑΝΤΩΝ-127,,17676
Κωδ.Πρ.: 101244,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΟΥΚ. ΠΛΑΚΕΝΤΙΑΣ-51-55,,11523
Κωδ.Πρ.: 101243,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΡΧΙΜΗΔΟΥΣ 9 & ΞΕΝΟΦΩΝΤΟΣ,,16343
Κωδ.Πρ.: 101337,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΜΥΡΙΟΦΥΤΟΥ & ΕΛ. ΒΕΝΙΖΕΛΟΥ 138,,17122
Κωδ.Πρ.: 101357,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΧΑΡΙΛΑΟΥ ΤΡΙΚΟΥΠΗ-116,,11472
Κωδ.Πρ.: 101356,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΦΙΛΟΛΑΟΥ 13 & ΑΡΤΟΤΙΝΗΣ 27-29,,11633
Κωδ.Πρ.: 101358,24,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ-166,,12133
Κωδ.Πρ.: 101380,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΡΕΒΕΖΗΣ-48,,17342
Κωδ.Πρ.: 101353,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΛΕΩΦ. ΔΕΚΕΛΕΙΑΣ-61,,14341
Κωδ.Πρ.: 101385,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΛΕΩΦ. ΓΑΛΑΤΣΙΟΥ-2-4,,11141
Κωδ.Πρ.: 101359,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣΘΕΝΟΥΣ-55,,17672
Κωδ.Πρ.: 101381,24,ΠΕΙΡΑΙΩΣ,ΑΓ. ΔΗΜΗΤΡΙΟΥ-106Β,,18545
Κωδ.Πρ.: 101377,24,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΡΙΣΤΟΤΕΛΟΥΣ-47,,13674
Κωδ.Πρ.: 101361,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΛΕΩΦ. ΑΘΗΝΩΝ-46,,10441
Κωδ.Πρ.: 101270,24,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΦΡΟΔΙΤΗΣ-51,,14235
Κωδ.Πρ.: 101416,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΗΛΙΑ ΗΛΙΟΥ-63,,11744
Κωδ.Πρ.: 101257,24,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,25ης ΜΑΡΤΙΟΥ 32 & ΧΡΥΣ. ΣΜΥΡΝΗΣ 93,,13231
Κωδ.Πρ.: 101336,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΟΥΛΩΦ ΠΑΛΜΕ-29-31,,15773
Κωδ.Πρ.: 101360,24,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΝ. ΠΑΠΑΝΔΡΕΟΥ-216,,13121
Κωδ.Πρ.: 101314,24,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΗΡΑΚΛΕΙΟΥ 161 & ΣΟΛΩΝΟΣ,,14231
Κωδ.Πρ.: 101384,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΧΩΡΙΚΩΝ 2 & ΠΛ. ΧΩΡΙΚΩΝ,,16675
Κωδ.Πρ.: 101351,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΔΑΒΑΚΗ-10,,57008
Κωδ.Πρ.: 101321,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΑΝΔ. ΠΑΠΑΝΔΡΕΟΥ-269,,56532
Κωδ.Πρ.: 101322,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΑΡΤΑΚΗΣ-15,,54454
Κωδ.Πρ.: 101318,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΤΡΙΩΝ ΙΕΡΑΡΧΩΝ 19 - ΑΝΩ ΠΕΤΡΑΛΩΝΑ-19,,11851
Κωδ.Πρ.: 101245,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΛΑΣΚΑΡΙΔΟΥ 7 & ΛΟΥΙΖΗΣ ΡΙΑΝΚΟΥΡ,,11524
Κωδ.Πρ.: 101289,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΕΜΠΟΡΙΚΟ ΚΕΝΤΡΟ ΜΑΚΕΔΟΝΙΑ,,55535
Κωδ.Πρ.: 101174,24,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,Γ. ΓΕΝΝΗΜΑΤΑ-3,,19015
Κωδ.Πρ.: 101330,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΛΕΩΦ. ΙΩΝΙΑΣ-175,,17456
Κωδ.Πρ.: 101311,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΙΩΑΝΝΙΝΩΝ-32,,10444
Κωδ.Πρ.: 101241,24,ΠΕΙΡΑΙΩΣ,ΑΝΑΠΑΥΣΕΩΣ-65,,18755
Κωδ.Πρ.: 101323,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΣΤΕΦΑΝΟΥ ΔΡΑΓΟΥΜΗ-10,,54633
Κωδ.Πρ.: 101335,24,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΣΑΛΑΜΙΝΟΣ-40,,19300
Κωδ.Πρ.: 101294,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΑΜΠΕΛΟΚΗΠΩΝ-11,,56430
Κωδ.Πρ.: 101230,24,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΣΑΡΑΝΤΑΠΟΡΟΥ-61,,12131
Κωδ.Πρ.: 101260,24,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΚΩΝ. ΠΑΛΑΙΟΛΟΓΟΥ-2,,19004
Κωδ.Πρ.: 101327,24,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ-54,,15232
Κωδ.Πρ.: 101310,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΚΟΥΡΤΙΔΟΥ-77,,11145
Κωδ.Πρ.: 101334,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,Μ.ΑΣΙΑΣ-67,,11527
Κωδ.Πρ.: 101329,24,ΠΕΙΡΑΙΩΣ,Κ. ΒΑΡΝΑΛΗ-19,,18863
Κωδ.Πρ.: 101309,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΛΕΝΟΡΜΑΝ-203,,10442
Κωδ.Πρ.: 101313,24,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΒΥΣΑΡΑΚΗ & ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ-14,,13672
Κωδ.Πρ.: 101305,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΒΕΡΩΦ 27 & ΚΡΩΜΝΗΣ 15,,16452
Κωδ.Πρ.: 101292,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΑΡΗ ΒΕΛΟΥΧΙΩΤΗ-44,,56437
Κωδ.Πρ.: 101272,24,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΕΛ. ΒΕΝΙΖΕΛΟΥ-84,,14231
Κωδ.Πρ.: 101263,24,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,Π.Ε.Ο ΑΘΗΝΩΝ ΧΑΛΚΙΔΑΣ-28,,19011
Κωδ.Πρ.: 101248,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΣΟΛΩΝΟΣ-106,,17673
Κωδ.Πρ.: 101259,24,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΦΙΛΑΔΕΛΦΕΙΑΣ-288,,13671
Κωδ.Πρ.: 101291,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΧΡΥΣΟΣΤΟΜΟΥ ΣΜΥΡΝΗΣ-21,,57400
Κωδ.Πρ.: 101292,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΑΡΗ ΒΕΛΟΥΧΙΩΤΗ-44,,56437
Κωδ.Πρ.: 101177,24,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΚΥΠΡΟΥ 1 & ΔΕΛΗΓΙΑΝΝΗ 9,,14452
Κωδ.Πρ.: 101288,24,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΜΙΝΩΟΣ-41,,12241
Κωδ.Πρ.: 101103,24,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΛΕΩΦ.ΜΕΣΟΓΕΙΩΝ-279,,15231
Κωδ.Πρ.: 101292,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΑΡΗ ΒΕΛΟΥΧΙΩΤΗ-44,,56437
Κωδ.Πρ.: 101205,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΓΕΩΡΓΙΟΥ ΔΡΟΣΙΝΗ 7 & ΑΝΑΛΗΨΕΩΣ,,54644
Κωδ.Πρ.: 101503,24,ΠΕΙΡΑΙΩΣ,ΜΑΡΙΑΣ ΧΑΤΖΗΚΥΡΙΑΚΟΥ-104,,18539
Κωδ.Πρ.: 101395,24,ΠΕΙΡΑΙΩΣ,ΛΕΩΦ. ΣΑΛΑΜΙΝΟΣ-159,,18756
Κωδ.Πρ.: 101281,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΕΠΤΑΛΟΦΟΥ-5-7,,54454
Κωδ.Πρ.: 101268,24,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΙΕΡΑΣ ΟΔΟΥ-214,,12242
Κωδ.Πρ.: 101154,24,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΠΑΝΟΣ-32,,16672
Κωδ.Πρ.: 101276,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΠΑΠΑΝΔΡΕΟΥ ΑΝ.-13,,56334
Κωδ.Πρ.: 101277,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΠΑΝΑΓΙΑΣ ΦΑΝΕΡΩΜΕΝΗΣ-8,,54632
Κωδ.Πρ.: 101258,24,ΠΕΙΡΑΙΩΣ,ΑΚΤΗ ΘΕΜΙΣΤΟΚΛΕΟΥΣ-160 - 162,,18539
Κωδ.Πρ.: 101205,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΓΕΩΡΓΙΟΥ ΔΡΟΣΙΝΗ 7 & ΑΝΑΛΗΨΕΩΣ,,54644
Κωδ.Πρ.: 101266,24,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΔΕΚΕΛΕΙΑΣ-80,,13678
Κωδ.Πρ.: 101124,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΓΕΝΝΗΜΑΤΑ-55,,16562
Κωδ.Πρ.: 101228,24,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΔΗΜΑΡΧΟΥ ΠΛΕΙΩΝΗ ΚΩΝ/ΝΟΥ-23,,19500
Κωδ.Πρ.: 101178,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΧΡ. ΣΜΥΡΝΗΣ-33,,16345
Κωδ.Πρ.: 101334,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,Μ.ΑΣΙΑΣ-67,,11527
Κωδ.Πρ.: 101353,24,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΛΕΩΦ. ΔΕΚΕΛΕΙΑΣ-61,,14341
Κωδ.Πρ.: 101221,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΕΛ. ΒΕΝΙΖΕΛΟΥ & Γ. ΚΑΦΑΝΤΑΡΗ,,17343
Κωδ.Πρ.: 101128,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΛΕΚΚΑ-23,,10562
Κωδ.Πρ.: 101251,24,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΥΨΗΛΑΝΤΟΥ & ΕΛΛΗΣ-24,,13231
Κωδ.Πρ.: 101253,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΚΡΕΟΝΤΟΣ-74 - 76,,10443
Κωδ.Πρ.: 101252,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΛΕΩΦ. ΑΛΕΞΑΝΔΡΑΣ-213Β,,11521
Κωδ.Πρ.: 101124,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΓΕΝΝΗΜΑΤΑ-55,,16562
Κωδ.Πρ.: 101231,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΓ. ΔΗΜΗΤΡΙΟΥ-212,,17341
Κωδ.Πρ.: 101294,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΑΜΠΕΛΟΚΗΠΩΝ-11,,56430
Κωδ.Πρ.: 101206,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΗΦΙΣΙΑΣ-38,,55134
Κωδ.Πρ.: 101389,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΣΚΡΑ-73,,17673
